PIB Municipal a preços constantes
Sigla;Código;Município;1996;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;
PE;2602308;Bonito;99325,3191848275;151667,511611814;150397,595000239;166335,79643304;169236,208986406;170764,268657285;166378,126071673;173142,579251829;185299,424070278;78580,2591132132;81074,9336117007;89238,2668373108;90718,4779593607;
PE;2602407;Brejão;16082,4352655548;25231,2238868658;31155,7452295385;31756,8066614673;34125,4869241228;41436,429849021;41825,4436691812;45988,3568860425;50722,6527583543;24437,3884494557;24796,4344327856;24646,1272772903;24710,4947889836;
PE;2602506;Brejinho;8906,732309219;19076,1992721327;20208,9250264219;20197,7601474073;22626,1470994677;23210,7060366506;21106,8449379948;22627,8390651504;24393,9249641286;12245,0713947102;12769,9695527921;12945,1491098031;13512,2036611732;
PE;2602605;Brejo da Madre de Deus;66493,5526553722;106957,859096166;119132,331791874;129092,309125998;138620,13575278;131983,499455054;135845,252308364;147195,485818476;153220,87713559;70247,5911711429;73567,7321618941;78846,1252276048;86318,7761839683;
PE;2602704;Buenos Aires;26288,3497081249;45763,6331327744;44722,8813880633;46998,1890532754;46571,8899182458;45726,9428988067;43857,1794619974;45349,679352789;50573,5481331958;22504,0404137162;23470,4878305851;24970,0068428356;26857,2424096277;
PE;2602803;Buíque;91878,3191042173;110421,778117697;124575,423197497;134626,589667532;141563,65886749;141696,232068471;152026,211907574;177062,633047825;202632,252246775;99169,8897373646;106877,803142583;122094,253381799;121644,421856418;
PE;2602902;Cabo de Santo Agostinho;1158762,2904408;2306808,98587654;2794000,23675025;3180144,8918492;3389446,64949443;4075086,36571145;4165358,99256196;3988045,84540631;3744863,46064514;1632350,73762424;1744580,36980573;1737551,28827638;1997290,81595158;
PE;2603009;Cabrobó;56769,3715210465;146963,332959167;114327,600128481;143225,807068189;140733,593442059;135164,763386051;157453,256897838;157952,529738558;136552,673035557;68236,1596692222;77242,239205579;92465,8719179082;83387,3812484887;
PE;2603108;Cachoeirinha;43225,7589302249;54003,653859708;56747,2687465769;67677,2254493509;74878,7670551777;72838,1705958697;73734,1297718374;77625,8556774911;80098,3741979301;37560,9823906152;39642,0568698089;39167,4432368868;46144,450736342;
PE;2603207;Caetés;33391,3926588893;49569,6425958834;58849,9895595685;66178,1165787752;68789,416896902;69556,9398694667;70512,8746064366;73331,5202274196;78321,916756968;39185,361628852;37071,4466218328;45643,9243276402;47082,0336754914;
PE;2603306;Calçado;35096,613629021;39105,550045637;39673,3111018487;47768,4125231405;44094,6727051686;47366,8289419938;48602,7506772539;47416,3570027405;49137,9808866531;22581,6466807296;22339,0784788375;26293,0777847899;24976,2634498193;
PE;2603405;Calumbi;12286,4164437802;18216,844071188;23764,0424197657;20846,9376241791;20914,4305515056;19814,3276687874;20325,3333248882;22035,6644473033;23332,6139541969;10776,6403959152;10566,8971764489;11479,9468084444;11006,171639594;
PE;2603454;Camaragibe;436158,802014398;559927,273772472;544558,532463789;533572,410436054;610023,078129354;559329,216314788;559039,761922245;607683,412775777;607987,645876325;275873,133707636;286229,780082301;301369,069150043;337679,883161546;
PE;2603504;Camocim de São Félix;30205,6544177925;54542,0862012086;60992,4324807232;71945,8201683883;70180,3423712757;62383,75449515;58774,9759168044;67774,254259565;65722,7930493104;31492,3177689976;31370,5786431654;35241,8414425716;40968,5963840461;
PE;2603603;Camutanga;87869,6606864695;77883,2636167621;84929,0073671114;98390,7683788525;117005,508297586;111374,446086497;98797,9876526004;104925,088011431;118549,114994134;43025,7747365299;49903,0202411587;60528,4904131862;66464,5956362825;
PE;2603702;Canhotinho;59612,5911841071;78557,9275511764;80821,1169720928;81186,749663362;84463,567772416;82858,1334281611;82088,599684488;87339,9535168205;87798,1891494924;42895,4393633504;43965,5971813557;45096,0024319122;47413,3003442998;
PE;2603801;Capoeiras;51032,4804771394;53826,3363212484;56988,0936214827;60988,9311111745;67249,0821156201;64298,8872438838;69043,6275815206;70669,4919121957;75277,2465415288;36428,9016644868;36550,3913584242;40163,5444441981;41316,7789058717;
PE;2603900;Carnaíba;27405,5464841899;52248,8281631061;52120,3497277435;51465,6749940299;62101,8937826817;57860,3069564555;54691,4383504545;59653,7324622487;63003,5592406266;29047,6247500168;29371,9254070879;32007,6711410205;32770,4862406493;
